id,domain,status,claim,observed,target,error,note
COMP-BOUND-07,Computational,PASS,Normalized recursion finite/bounded seed=100,100.0,<= 100,,
PROV-001,Provenance,PASS,Current master source document count,14,14,0,
PROV-002,Provenance,PASS,Exact duplicate PDF groups detected,1,1,0,Duplicate documents are not counted as independent evidence.
PROV-003,Provenance,PASS,Image/scan-only text-extraction sources,1,1,0,
SIG-RAW-001,Sigmatics,NOT_INDEPENDENTLY_EXECUTABLE,"32 triality orbit statistics: arithmetic 47.50, geometric 35.97, harmonic 18.86, RMS 54.99.",not executable from supplied data,,,The supplied PDF reports aggregate statistics but does not embed the complete raw 96-class graph/orbit excitation vector needed to regenerate them independently.
SIG-RAW-002,Sigmatics,NOT_INDEPENDENTLY_EXECUTABLE,"Reachability growth 1→4, 2→9, 3→16, 4→24, 5→32 classes.",not executable from supplied data,,,The raw transition graph / @uor-foundation/sigmatics package dataset is not embedded in the supplied material.
SIG-RAW-003,Sigmatics,NOT_INDEPENDENTLY_EXECUTABLE,R transform yields 8 independent 4-cycles; T has period 3; M partially mixes orbits.,not executable from supplied data,,,These are reported graph properties; the complete machine-readable graph is absent from the supplied PDFs.
GR-REF-007,GR/QFT compatibility,REFERENCE_REPRODUCTION,Binary inspiral decay reported ~-2.4e-12 s/s.,not executable from supplied data,,,"A specific binary-system parameter set is not supplied in the 4-page assessment, so this target is treated as a reported reference value rather than an independent SEXA derivation."
EXP-001,Experimental,PENDING_EXPERIMENT,ON-state Yukawa deviation via torsion-balance protocol.,not executable from supplied data,,,The source explicitly states that no physical measurement has yet been performed.
HW-001,Hardware,PENDING_IMPLEMENTATION,FPGA/ASIC/AI-accelerator realization.,not executable from supplied data,,,"The conference paper explicitly describes hardware realization as future work, not a completed benchmark."
SCAN-001,Provenance,UNRESOLVED,SEXA_UFT_Structural_Audit(10).pdf equation-level extraction.,not executable from supplied data,,,The 13-page source is image/scan-only under text extraction. It is hashed and inventoried but equations are not invented from unavailable machine text.
SIG-RAW-004,Sigmatics,UNRESOLVED,Source statement: each dimensional reduction loses ~1.42 bits per class.,not executable from supplied data,,,"The supplied text does not define the denominator or derivation for 1.42 bits/class. From the explicit 2048→632 figures, total loss is 1416 bits; 1416/96 = 14.75, so the 1.42 figure cannot be uniquely reconstructed from the stated quantities."
GR-REF-005,GR/QFT compatibility,REFERENCE_REPRODUCTION,Frame dragging reported ~30 milliarcseconds/year.,not executable from supplied data,,,"The assessment does not specify the orbit, central-body angular momentum model, or measurement geometry required for an independent calculation."
